x1,x2,x3,x4,d
x1_bin24,x2_bin258,x3_bin23,x4_bin194,0
x1_bin24,x2_bin258,x3_bin23,x4_bin194,1
x1_bin26,x2_bin234,x3_bin17,x4_bin31,1
x1_bin16,x2_bin26,x3_bin11,x4_bin134,0
x1_bin24,x2_bin7,x3_bin9,x4_bin193,0
x1_bin24,x2_bin7,x3_bin9,x4_bin193,1
x1_bin14,x2_bin94,x3_bin9,x4_bin0,0
x1_bin14,x2_bin94,x3_bin9,x4_bin0,1
x1_bin14,x2_bin94,x3_bin9,x4_bin0,1
x1_bin22,x2_bin201,x3_bin32,x4_bin209,1
x1_bin24,x2_bin248,x3_bin5,x4_bin108,0
x1_bin24,x2_bin248,x3_bin5,x4_bin108,1
x1_bin16,x2_bin57,x3_bin1,x4_bin196,0
x1_bin16,x2_bin57,x3_bin1,x4_bin196,1
x1_bin16,x2_bin57,x3_bin1,x4_bin196,1
x1_bin18,x2_bin102,x3_bin5,x4_bin57,1
x1_bin28,x2_bin247,x3_bin19,x4_bin97,1
x1_bin36,x2_bin257,x3_bin19,x4_bin183,1
x1_bin36,x2_bin193,x3_bin17,x4_bin4,0
x1_bin36,x2_bin193,x3_bin17,x4_bin4,0
x1_bin36,x2_bin193,x3_bin17,x4_bin4,0
x1_bin36,x2_bin193,x3_bin17,x4_bin4,1
x1_bin38,x2_bin195,x3_bin13,x4_bin181,1
x1_bin30,x2_bin52,x3_bin13,x4_bin35,0
x1_bin30,x2_bin52,x3_bin13,x4_bin35,1
x1_bin30,x2_bin52,x3_bin13,x4_bin35,1
x1_bin30,x2_bin52,x3_bin13,x4_bin35,1
x1_bin28,x2_bin0,x3_bin29,x4_bin103,0
x1_bin34,x2_bin181,x3_bin5,x4_bin151,0
x1_bin28,x2_bin14,x3_bin7,x4_bin18,0
x1_bin28,x2_bin14,x3_bin7,x4_bin18,0
x1_bin28,x2_bin14,x3_bin7,x4_bin18,0
x1_bin28,x2_bin14,x3_bin7,x4_bin18,0
x1_bin28,x2_bin14,x3_bin7,x4_bin18,1
x1_bin28,x2_bin14,x3_bin7,x4_bin18,1
x1_bin6,x2_bin228,x3_bin25,x4_bin1,1
x1_bin4,x2_bin9,x3_bin9,x4_bin93,1
x1_bin0,x2_bin0,x3_bin15,x4_bin212,0
x1_bin0,x2_bin226,x3_bin15,x4_bin40,0
x1_bin0,x2_bin226,x3_bin15,x4_bin40,1
x1_bin0,x2_bin226,x3_bin15,x4_bin40,1
x1_bin0,x2_bin92,x3_bin31,x4_bin46,1
x1_bin0,x2_bin92,x3_bin31,x4_bin46,1
x1_bin0,x2_bin243,x3_bin0,x4_bin161,0
x1_bin0,x2_bin243,x3_bin0,x4_bin161,0
x1_bin0,x2_bin243,x3_bin0,x4_bin161,1
x1_bin10,x2_bin215,x3_bin0,x4_bin211,0
x1_bin10,x2_bin215,x3_bin0,x4_bin211,1
x1_bin3,x2_bin34,x3_bin3,x4_bin29,0
x1_bin3,x2_bin34,x3_bin3,x4_bin29,1
